안전인증번호,인증업체코드,업체명,인증업체주소,접수번호,인증서발행일,적용안전기준,인증서상태,모델명,파생모델명,인증품목명,인증구분,제조국가
ABB73-R001-19001,919971182,삼정엘리베이터,서울특별시 양천구 목동서로 301-5,C400120190503001,2019-06-05,(종전)「승강기 안전검사기준」별표 3,반납,K300A,,에스컬레이터 > 에스컬레이터 > 일반형,모델,중국
ABB73-R001-19002,919971182,삼정엘리베이터,서울특별시 양천구 목동서로 301-5,C400120190503002,2019-06-05,(종전)「승강기 안전검사기준」별표 3,반납,K200,,에스컬레이터 > 에스컬레이터 > 일반형,모델,중국
ABA71-K001-19001,919920034,티케이엘리베이터코리아,충청남도 천안시 서북구 입장면 연곡길 235,C400120190430002,2019-07-10,(종전)「승강기 안전검사기준」별표 1,반납,Enta,,엘리베이터 > 전기식 엘리베이터 > 일반형,모델,한국
ABA71-K001-19001,919920034,티케이엘리베이터코리아,충청남도 천안시 서북구 입장면 연곡길 235,C400120200506100,2019-07-10,(종전)「승강기 안전검사기준」별표 1,반납,Enta,,엘리베이터 > 전기식 엘리베이터 > 일반형,모델,한국
ABA71-K001-19001,919920034,티케이엘리베이터코리아,충청남도 천안시 서북구 입장면 연곡길 235,C400120200828100,2019-07-10,(종전)「승강기 안전검사기준」별표 1,반납,Enta,,엘리베이터 > 전기식 엘리베이터 > 일반형,모델,한국
ABA71-K001-19002,919920034,티케이엘리베이터코리아,충청남도 천안시 서북구 입장면 연곡길 235,C400120190430004,2019-07-10,(종전)「승강기 안전검사기준」별표 1,회수,Elexess2,,엘리베이터 > 전기식 엘리베이터 > 일반형,모델,한국
ABA71-K001-19003,919920034,티케이엘리베이터코리아,충청남도 천안시 서북구 입장면 연곡길 235,C400120190430005,2019-07-10,(종전)「승강기 안전검사기준」별표 1,회수,GL1,,엘리베이터 > 전기식 엘리베이터 > 일반형,모델,한국
ABA71-K001-19003,919920034,티케이엘리베이터코리아,충청남도 천안시 서북구 입장면 연곡길 235,C400120200707100,2019-07-10,(종전)「승강기 안전검사기준」별표 1,회수,GL1,,엘리베이터 > 전기식 엘리베이터 > 일반형,모델,한국
ABA71-K001-19004,919920034,티케이엘리베이터코리아,충청남도 천안시 서북구 입장면 연곡길 235,C400120190430008,2019-07-10,(종전)「승강기 안전검사기준」별표 1,반납,Enta200소형,,엘리베이터 > 전기식 엘리베이터 > 일반형,모델,한국
ABA71-K001-19004,919920034,티케이엘리베이터코리아,충청남도 천안시 서북구 입장면 연곡길 235,C400120200630100,2019-07-10,(종전)「승강기 안전검사기준」별표 1,반납,Enta200소형,,엘리베이터 > 전기식 엘리베이터 > 일반형,모델,한국
ABA71-K001-19005,919920034,티케이엘리베이터코리아,충청남도 천안시 서북구 입장면 연곡길 235,C400120190430001,2019-07-10,(종전)「승강기 안전검사기준」별표 1,반납,synergy,,엘리베이터 > 전기식 엘리베이터 > 일반형,모델,한국
ABA71-R001-19001,919890001,쉰들러엘리베이터,경기도 시흥시 산기대학로 60,C400120190508001,2019-07-15,(종전)「승강기 안전검사기준」별표 1,반납,S3300,,엘리베이터 > 전기식 엘리베이터 > 일반형,모델,중국
ABA71-R001-19001,919890001,쉰들러엘리베이터,경기도 시흥시 산기대학로 60,C400120200212100,2019-07-15,(종전)「승강기 안전검사기준」별표 1,반납,S3300,,엘리베이터 > 전기식 엘리베이터 > 일반형,모델,중국
ABA71-D001-19001,919920075,오티스엘리베이터,서울특별시 영등포구 국제금융로 10,C400120190418002,2019-07-24,(종전)「승강기 안전검사기준」별표 1,반납,ACD3 MR_GM1,,엘리베이터 > 전기식 엘리베이터 > 일반형,모델,한국
