연도,승강기종류,고장유형,고장건수
2023,엘리베이터 및 휠체어리프트,출입문이 열린상태로 움직인 경우,8
2023,엘리베이터 및 휠체어리프트,출입문 이탈 또는 파손 되어 정지,9
2023,엘리베이터 및 휠체어리프트,최상층 또는 최하층을 지나 움직임,38
2023,엘리베이터 및 휠체어리프트,운행하려는 층으로 운행되지 않은 경우,12387
2023,엘리베이터 및 휠체어리프트,운행 중 정지된 고장,11056
2023,엘리베이터 및 휠체어리프트,"매다는 장치 등이 이탈, 추락된 경우",6
2023,에스컬레이터,손잡이 속도 이상,4
2023,에스컬레이터,하강 운행 중 과속,0
2023,에스컬레이터,상승 운행 중 역행,1
2023,에스컬레이터,과속역행방지장치 작동불량,0
2023,에스컬레이터,"디딤판 이탈, 파손",1
2022,엘리베이터 및 휠체어리프트,출입문이 열린상태로 움직인 경우,2
2022,엘리베이터 및 휠체어리프트,출입문 이탈 또는 파손 되어 정지,7
2022,엘리베이터 및 휠체어리프트,최상층 또는 최하층을 지나 움직임,46
2022,엘리베이터 및 휠체어리프트,운행하려는 층으로 운행되지 않은 경우,12968
2022,엘리베이터 및 휠체어리프트,운행 중 정지된 고장,10756
2022,엘리베이터 및 휠체어리프트,"매다는 장치 등이 이탈, 추락된 경우",5
2022,에스컬레이터,손잡이 속도 이상,4
2022,에스컬레이터,하강 운행 중 과속,2
2022,에스컬레이터,상승 운행 중 역행,0
2022,에스컬레이터,과속역행방지장치 작동불량,0
2022,에스컬레이터,"디딤판 이탈, 파손",6
2021,엘리베이터 및 휠체어리프트,출입문이 열린상태로 움직인 경우,9
2021,엘리베이터 및 휠체어리프트,출입문 이탈 또는 파손 되어 정지,16
2021,엘리베이터 및 휠체어리프트,최상층 또는 최하층을 지나 움직임,50
2021,엘리베이터 및 휠체어리프트,운행하려는 층으로 운행되지 않은 경우,12442
2021,엘리베이터 및 휠체어리프트,운행 중 정지된 고장,10834
2021,엘리베이터 및 휠체어리프트,"매다는 장치 등이 이탈, 추락된 경우",0
2021,에스컬레이터,손잡이 속도 이상,4
2021,에스컬레이터,하강 운행 중 과속,0
2021,에스컬레이터,상승 운행 중 역행,0
2021,에스컬레이터,과속역행방지장치 작동불량,0
2021,에스컬레이터,"디딤판 이탈, 파손",3
2020,엘리베이터 및 휠체어리프트,출입문이 열린상태로 움직인 경우,13
2020,엘리베이터 및 휠체어리프트,출입문 이탈 또는 파손 되어 정지,6
2020,엘리베이터 및 휠체어리프트,최상층 또는 최하층을 지나 움직임,23
2020,엘리베이터 및 휠체어리프트,운행하려는 층으로 운행되지 않은 경우,8541
2020,엘리베이터 및 휠체어리프트,운행 중 정지된 고장,8722
2020,엘리베이터 및 휠체어리프트,"매다는 장치 등이 이탈, 추락된 경우",0
2020,에스컬레이터,손잡이 속도 이상,7
2020,에스컬레이터,하강 운행 중 과속,0
2020,에스컬레이터,상승 운행 중 역행,1
2020,에스컬레이터,과속역행방지장치 작동불량,0
2020,에스컬레이터,"디딤판 이탈, 파손",3
2019,엘리베이터 및 휠체어리프트,출입문이 열린상태로 움직인 경우,9
2019,엘리베이터 및 휠체어리프트,출입문 이탈 또는 파손 되어 정지,11
2019,엘리베이터 및 휠체어리프트,최상층 또는 최하층을 지나 움직임,45
2019,엘리베이터 및 휠체어리프트,운행하려는 층으로 운행되지 않은 경우,3652
2019,엘리베이터 및 휠체어리프트,운행 중 정지된 고장,4853
2019,엘리베이터 및 휠체어리프트,"매다는 장치 등이 이탈, 추락된 경우",0
2019,에스컬레이터,손잡이 속도 이상,13
2019,에스컬레이터,하강 운행 중 과속,1
2019,에스컬레이터,상승 운행 중 역행,1
2019,에스컬레이터,과속역행방지장치 작동불량,0
2019,에스컬레이터,"디딤판 이탈, 파손",6
