연도,공동주택,근린 생활 시설,문화 및 집회 시설,판매시설,운수시설,의료시설,교육연구 복지시설,업무시설,숙박시설,공장,기타
2007,17 ,12 ,0 ,15 ,36 ,2 ,1 ,2 ,4 ,5 ,3 
2008,10 ,14 ,5 ,40 ,67 ,2 ,2 ,6 ,0 ,5 ,3 
2009,5 ,12 ,1 ,40 ,44 ,4 ,1 ,1 ,1 ,4 ,2 
2010,8 ,6 ,1 ,67 ,36 ,3 ,0 ,4 ,0 ,4 ,0 
2011,9 ,1 ,0 ,41 ,35 ,4 ,3 ,1 ,0 ,1 ,2 
2012,7 ,11 ,0 ,70 ,36 ,2 ,1 ,4 ,0 ,2 ,0 
2013,12 ,7 ,1 ,38 ,22 ,1 ,1 ,2 ,1 ,3 ,0 
2014,14 ,3 ,0 ,39 ,8 ,3 ,0 ,2 ,0 ,0 ,2 
2015,15 ,6 ,0 ,28 ,7 ,1 ,0 ,3 ,0 ,1 ,0 
2016,12 ,6 ,2 ,14 ,7 ,0 ,0 ,1 ,1 ,1 ,0 
2017,7 ,4 ,0 ,8 ,3 ,1 ,1 ,1 ,1 ,1 ,0 
2018,5 ,1 ,1 ,7 ,4 ,0 ,1 ,1 ,1 ,0 ,0 
2019,21 ,3 ,1 ,22 ,9 ,4 ,1 ,5 ,5 ,0 ,1 
2020,22 ,8 ,0 ,24 ,7 ,6 ,2 ,13 ,0 ,2 ,2 
2021,29 ,5 ,2 ,17 ,4 ,2 ,5 ,6 ,3 ,0 ,2 
2022,11 ,6 ,1 ,19 ,9 ,2 ,1 ,4 ,1 ,0 ,1 
2023,8 ,8 ,1 ,5 ,10 ,0 ,1 ,1 ,2 ,3 ,3 
