119접수일자,승강기고유번호,등록일시
2021-06-15,2016930,2021-06-16
2021-06-14,2214522,2021-06-15
2021-06-14,6037090,2021-06-15
2021-06-17,2156034,2021-06-18
2021-06-25,2016188,2021-06-28
2021-07-01,6004808,2021-07-02
2021-06-30,6024686,2021-07-02
2021-07-02,2195565,2021-07-08
2021-07-02,2028757,2021-07-08
2021-07-04,2114244,2021-07-08
2021-07-04,2027848,2021-07-08
2021-07-04,2015133,2021-07-08
2021-07-05,2195596,2021-07-08
2021-07-05,2101564,2021-07-08
2021-07-06,8007850,2021-07-08
2021-07-06,6041555,2021-07-08
2021-07-06,2202946,2021-07-08
2021-07-06,2016522,2021-07-08
2021-07-07,6053003,2021-07-15
2021-07-08,2232452,2021-07-15
2021-07-08,6020710,2021-07-15
2021-07-08,2217424,2021-07-15
2021-07-09,6041114,2021-07-15
2021-07-09,6044640,2021-07-15
2021-07-13,2128873,2021-07-15
2021-07-18,2108111,2021-07-19
2021-07-18,2104989,2021-07-19
2021-07-17,2218333,2021-07-19
2021-07-16,2006275,2021-07-19
2021-07-19,6004794,2021-07-20
2021-07-20,2156033,2021-07-21
2021-07-22,2041341,2021-07-23
2021-07-22,6004182,2021-07-23
2021-07-22,2011941,2021-07-23
2021-07-22,2214433,2021-07-23
2021-07-23,2089015,2021-07-26
2021-07-26,2043396,2021-07-27
2021-07-28,5031991,2021-07-29
2021-07-29,2066939,2021-07-30
2021-07-30,2192288,2021-08-02
2021-07-31,2008728,2021-08-02
2021-07-31,2027939,2021-08-02
2021-07-31,2015525,2021-08-02
2021-08-01,6001819,2021-08-02
2021-08-01,8052687,2021-08-02
2021-08-04,6003681,2021-08-05
2021-08-05,6022227,2021-08-06
2021-08-05,2217272,2021-08-06
2021-08-06,2163741,2021-08-09
2021-08-06,6058110,2021-08-09
2021-08-06,6046869,2021-08-09
2021-08-06,2052909,2021-08-09
2021-08-06,2015430,2021-08-09
2021-08-07,6033262,2021-08-09
2021-08-07,6020233,2021-08-09
2021-08-07,6003685,2021-08-09
2021-08-07,6003686,2021-08-09
2021-08-07,6045445,2021-08-09
2021-06-15,2041555,2021-06-16
2021-06-10,2066978,2021-06-11
2021-06-10,2052542,2021-06-11
2021-06-16,2221095,2021-06-17
2021-06-16,8037986,2021-06-17
2021-06-16,2015924,2021-06-17
2021-06-16,2221215,2021-06-17
2021-06-18,2235014,2021-06-21
2021-06-18,6038212,2021-06-21
2021-06-21,2212179,2021-06-23
2021-06-21,6013098,2021-06-23
2021-06-21,6002379,2021-06-23
2021-07-03,2203647,2021-07-08
2021-07-03,2180246,2021-07-08
2021-07-04,8048283,2021-07-08
2021-07-04,6012911,2021-07-08
2021-07-04,6016641,2021-07-08
2021-07-04,2159092,2021-07-08
2021-07-06,2186202,2021-07-08
2021-07-09,2027751,2021-07-15
2021-07-09,2026807,2021-07-15
2021-07-09,2109339,2021-07-15
2021-07-10,2050884,2021-07-15
2021-07-11,6054870,2021-07-15
